Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",99.42,99.78,99.35,99.11,79.7,99.15,99.12,36.54,"[cumin.real.9511a582c32f.csv] cloves:128, cumin:247, oregano:8 → cumin (247 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:377, cumin:6, oregano:0 → cloves (377 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:114, oregano:0 → cumin (114 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:89, cumin:26, oregano:0 → cloves (89 / 115) ✅",0.356,19.72,19.72
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",98.44,100.0,99.13,96.0,75.9,96.55,100.0,26.92,"[cumin.real.9511a582c32f.csv] cloves:27, cumin:69, oregano:0 → cumin (69 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, oregano:0 → cloves (96 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, oregano:0 → cumin (29 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, oregano:11 → cloves (18 / 29) ✅",0.335,22.54,22.54
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],98.68,100.0,97.98,98.05,86.57,93.44,93.28,71.56,"[cumin.real.9511a582c32f.csv] cloves:152, cumin:235, oregano:1 → cumin (235 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:370, cumin:18, oregano:0 → cloves (370 / 388) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:109, oregano:11 → cumin (109 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:93, cumin:16, oregano:11 → cloves (93 / 120) ✅",0.334,12.11,12.11
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",98.66,100.0,98.06,97.84,94.5,94.74,100.0,88.24,"[cumin.real.9511a582c32f.csv] cloves:43, cumin:84, oregano:0 → cumin (84 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:127, cumin:0, oregano:0 → cloves (127 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:36, oregano:1 → cumin (36 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:22, cumin:0, oregano:15 → cloves (22 / 37) ✅",0.307,4.16,4.16
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",97.92,95.08,100.0,98.36,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:23, cumin:40, oregano:0 → cumin (40 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:62, cumin:1, oregano:0 → cloves (62 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:9, cumin:0, oregano:9 → cloves (9 / 18) ✅",0.288,-2.08,2.08
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],97.32,100.0,96.73,95.27,83.33,87.5,97.44,62.86,"[cumin.real.9511a582c32f.csv] cloves:5, cumin:65, oregano:58 → cumin (65 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, oregano:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:21, cumin:2, oregano:16 → cloves (21 / 39) ✅",0.262,13.99,13.99
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",81.25,95.83,91.3,47.06,70.59,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:12, cumin:7, oregano:0 → cloves (12 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:1, cumin:2, oregano:3 → oregano (3 / 6) ❌",0.217,10.66,10.66
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",97.97,99.35,99.14,95.33,94.03,90.6,98.25,93.27,"[cumin.real.9511a582c32f.csv] cloves:200, cumin:182, oregano:1 → cloves (200 / 383) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:315, cumin:68, oregano:0 → cloves (315 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:114, oregano:1 → cumin (114 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:104, cumin:10, oregano:1 → cloves (104 / 115) ✅",0.138,3.94,3.94
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",97.16,100.0,96.0,95.5,82.76,90.0,96.67,59.26,"[cumin.real.9511a582c32f.csv] cloves:1, cumin:35, oregano:61 → oregano (61 / 97) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:97, oregano:0 → cumin (97 / 97) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:30, oregano:0 → cumin (30 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:0, cumin:4, oregano:26 → oregano (26 / 30) ❌",0.126,14.4,14.4
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",99.64,100.0,98.92,100.0,95.82,92.31,97.37,98.08,"[cumin.real.9511a582c32f.csv] cloves:190, cumin:35, oregano:158 → cloves (190 / 383) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:350, cumin:14, oregano:19 → cloves (350 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:110, oregano:5 → cumin (110 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:104, cumin:8, oregano:3 → cloves (104 / 115) ✅",0.113,3.82,3.82
