Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,89.16,82.76,92.86,92.31,"[cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:1 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:24, cumin:1, oregano:4 → cloves (24 / 29) ✅",0.897,10.84,10.84
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",99.71,100.0,99.14,100.0,94.93,95.73,96.49,92.31,"[cumin.24c868eadb47.csv] cloves:7, cumin:104, oregano:4 → cumin (104 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:100, cumin:13, oregano:2 → cloves (100 / 115) ✅",0.887,4.78,4.78
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",99.64,99.78,99.79,99.33,87.46,100.0,98.25,61.54,"[cumin.24c868eadb47.csv] cloves:1, cumin:111, oregano:3 → cumin (111 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:93, cumin:20, oregano:2 → cloves (93 / 115) ✅",0.887,12.18,12.18
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",['diff_data_like'],98.66,98.7,98.71,98.56,95.41,100.0,91.89,94.12,"[cumin.24c868eadb47.csv] cloves:2, cumin:34, oregano:1 → cumin (34 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:31, cumin:6, oregano:0 → cloves (31 / 37) ✅",0.878,3.25,3.25
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],98.58,100.0,99.21,96.33,91.95,93.33,96.67,85.19,"[cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:2 → cumin (28 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:24, cumin:2, oregano:4 → cloves (24 / 30) ✅",0.867,6.63,6.63
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],95.74,100.0,96.83,89.91,79.31,93.33,96.67,44.44,"[cumin.24c868eadb47.csv] cloves:0, cumin:29, oregano:1 → cumin (29 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:23, cumin:2, oregano:5 → cloves (23 / 30) ✅",0.867,16.43,16.43
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.48,98.33,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.24c868eadb47.csv] cloves:0, cumin:17, oregano:1 → cumin (17 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:14, cumin:4, oregano:0 → cloves (14 / 18) ✅",0.861,-0.52,0.52
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],99.65,100.0,99.6,99.35,87.43,94.26,94.96,71.56,"[cumin.24c868eadb47.csv] cloves:5, cumin:115, oregano:0 → cumin (115 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:90, cumin:26, oregano:4 → cloves (90 / 120) ✅",0.854,12.22,12.22
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",96.88,99.14,98.49,92.86,74.93,97.44,100.0,22.12,"[cumin.24c868eadb47.csv] cloves:0, cumin:115, oregano:0 → cumin (115 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:80, cumin:21, oregano:14 → cloves (80 / 115) ✅",0.848,21.95,21.95
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",95.76,99.35,96.77,90.65,95.41,100.0,97.3,88.24,"[cumin.24c868eadb47.csv] cloves:0, cumin:37, oregano:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:2, oregano:10 → cloves (25 / 37) ✅",0.838,0.35,0.35
