timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State0
98604,47,77,73,775,2,6,0,24.83,1016.56,15.99,603.62,3.65,0
99600,47,77,73,775,2,6,0,24.83,1016.56,16.00,599.31,3.65,0
100596,47,77,73,775,2,6,0,24.83,1016.56,16.02,601.46,3.65,0
101592,48,77,73,775,1,6,0,24.83,1016.56,16.03,602.54,3.65,0
102588,47,77,73,775,1,5,0,24.83,1016.56,16.05,603.62,3.65,0
103584,48,77,73,776,1,5,0,24.83,1016.56,16.08,605.25,3.65,0
104580,48,77,72,775,2,6,0,24.83,1016.56,16.09,600.38,3.73,0
105576,47,76,73,775,2,6,0,24.83,1016.55,16.10,601.46,3.82,0
106572,48,77,73,775,2,6,0,24.83,1016.54,16.11,606.34,3.73,0
107568,47,77,73,775,2,6,0,24.83,1016.55,16.12,603.08,3.65,0
108564,47,77,73,775,2,6,0,24.83,1016.56,16.14,600.38,3.65,0
109560,47,77,73,775,2,5,0,24.83,1016.56,16.14,603.62,3.65,0
110556,47,77,72,775,2,6,0,24.83,1016.56,16.16,607.99,3.65,0
111552,47,77,73,775,2,5,0,24.83,1016.56,16.17,602.54,3.57,0
112548,48,77,73,775,2,6,0,24.83,1016.57,16.19,600.38,3.65,0
113544,48,77,73,774,2,6,0,24.83,1016.56,16.19,603.62,3.65,0
114540,48,77,72,775,2,5,0,24.83,1016.56,16.18,607.44,3.57,0
115536,47,77,73,775,2,6,0,24.83,1016.57,16.18,604.71,3.57,0
116532,47,77,73,774,2,6,0,24.82,1016.57,16.18,600.92,3.65,0
117528,47,77,73,775,2,6,0,24.82,1016.56,16.16,603.08,3.65,0
118524,47,76,73,774,2,6,0,24.82,1016.56,16.14,604.71,3.57,0
119520,47,76,73,774,2,6,0,24.82,1016.57,16.14,599.31,3.65,0
120516,47,77,73,774,3,7,0,24.82,1016.56,16.13,599.31,3.57,0
121512,47,77,73,774,2,6,0,24.82,1016.57,16.12,600.38,3.57,0
122508,48,77,72,774,2,5,0,24.82,1016.57,16.11,598.24,3.57,0
123504,48,77,73,773,2,6,0,24.82,1016.57,16.09,600.38,3.57,0
124500,48,77,73,774,2,6,0,24.82,1016.57,16.09,601.46,3.57,0
125496,48,77,73,773,2,6,0,24.82,1016.57,16.08,602.54,3.57,0
126492,47,76,73,773,4,8,0,24.82,1016.57,16.07,599.31,3.57,1
127488,46,77,73,773,3,5,0,24.82,1016.57,16.06,602.00,3.57,1
128484,47,77,73,773,2,7,0,24.82,1016.57,16.06,599.85,3.65,1
129480,47,77,73,773,2,6,0,24.82,1016.56,16.04,605.80,3.65,1
130476,47,77,72,774,2,7,0,24.82,1016.56,16.04,601.46,3.65,1
131472,48,77,73,774,3,7,0,24.82,1016.56,16.04,604.16,3.65,1
132468,47,77,72,774,3,7,0,24.82,1016.56,16.03,604.16,3.65,1
133464,47,77,72,774,3,6,0,24.82,1016.56,16.01,603.08,3.73,1
134460,47,77,73,774,3,7,0,24.82,1016.55,16.02,608.54,3.65,1
135456,47,77,73,774,3,7,0,24.82,1016.56,16.00,608.54,3.65,1
136452,46,77,72,773,3,8,0,24.82,1016.56,15.99,611.31,3.65,1
137448,47,77,73,774,3,7,0,24.82,1016.56,15.98,607.44,3.57,1
138444,47,77,73,773,3,6,0,24.82,1016.57,15.97,612.42,3.57,1
139440,47,77,72,774,3,7,0,24.82,1016.57,15.96,610.75,3.57,1
140436,47,77,72,773,4,7,0,24.82,1016.57,15.96,610.75,3.48,1
141432,47,77,72,774,3,7,0,24.82,1016.58,15.97,611.31,3.48,1
142428,47,77,73,773,3,7,0,24.83,1016.58,15.97,616.36,3.48,1
143424,47,77,73,773,3,7,0,24.83,1016.58,15.96,614.66,3.48,1
144420,47,77,72,773,4,8,0,24.83,1016.58,15.95,609.64,3.48,1
145416,46,77,72,774,3,7,0,24.83,1016.58,15.95,616.92,3.48,1
146412,47,77,72,773,3,7,0,24.83,1016.58,15.95,613.54,3.48,1
147408,47,77,72,773,3,7,0,24.83,1016.58,15.96,614.66,3.48,1
148404,47,77,73,773,4,8,0,24.83,1016.58,15.94,615.79,3.57,1
149400,47,77,73,772,4,8,0,24.83,1016.57,15.94,612.42,3.40,1
150396,46,77,73,773,4,7,0,24.83,1016.59,15.93,613.54,3.48,1
151392,46,77,73,774,4,8,0,24.83,1016.58,15.94,616.92,3.48,1
152388,46,77,73,773,5,9,0,24.83,1016.58,15.92,618.06,3.48,1
153384,46,77,73,773,5,9,0,24.83,1016.58,15.90,618.06,3.48,1
154380,47,77,72,773,6,9,0,24.83,1016.58,15.91,619.20,3.40,1
155376,48,77,73,773,1,5,0,24.83,1016.59,15.90,625.54,3.48,1
156372,48,77,73,774,1,5,0,24.82,1016.58,15.89,624.37,3.48,1
157368,48,77,73,773,2,6,0,24.83,1016.58,15.87,623.79,3.48,1
158364,47,77,73,774,3,7,0,24.83,1016.58,15.87,627.29,3.48,1
159360,48,77,73,775,3,7,0,24.83,1016.58,15.86,623.79,3.48,1
160356,47,77,73,775,2,6,0,24.83,1016.58,15.84,626.12,3.40,1
161352,47,77,73,775,2,8,0,24.83,1016.59,15.82,627.29,3.48,1
162348,47,77,73,775,6,6,0,24.83,1016.58,15.81,626.71,3.48,1
163344,48,77,73,774,2,6,0,24.83,1016.58,15.82,630.23,3.48,1
164340,47,77,72,775,4,8,0,24.83,1016.58,15.81,632.61,3.40,1
165336,47,77,73,775,3,8,0,24.83,1016.59,15.80,622.06,3.48,1
166332,47,77,73,776,4,8,0,24.83,1016.58,15.79,626.12,3.48,1
167328,47,77,73,776,6,9,0,24.83,1016.58,15.80,624.37,3.48,1
168324,48,77,73,775,4,8,0,24.83,1016.58,15.79,630.23,3.40,1
169320,48,77,73,775,1,5,0,24.83,1016.59,15.78,633.80,3.48,1
170316,48,77,74,774,1,5,0,24.83,1016.58,15.78,641.06,3.40,1
171312,48,77,72,774,1,5,0,24.83,1016.59,15.77,635.60,3.48,1
