Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_bodai,Train_chienan,Train_go,Train_reihai,Train_rendai,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
short_overlap_first_6,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",71.58,57.74,84.24,70.6,89.03,55.77,,-999,71.58,71.58
long_overlap_no_benzene,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",74.17,80.0,88.78,44.44,73.96,81.19,,-999,74.17,74.17
medium_overlap_no_benzene,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",74.71,61.14,92.42,63.68,98.12,57.71,,-999,74.71,74.71
short_overlap_first_6,10,5,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],74.77,76.74,77.87,77.66,71.97,69.74,,-999,74.77,74.77
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",75.1,65.37,91.58,56.08,70.56,90.95,,-999,75.1,75.1
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],75.88,81.04,80.81,76.62,77.46,63.18,,-999,75.88,75.88
short_overlap_no_benzene,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",76.25,76.25,75.44,70.77,90.66,68.02,,-999,76.25,76.25
medium_overlap_no_benzene,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",77.32,85.22,80.5,73.68,72.5,74.37,,-999,77.32,77.32
long_overlap_no_benzene,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],77.71,64.89,80.61,88.64,66.33,88.24,,-999,77.71,77.71
short_overlap_no_benzene,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",78.88,73.63,90.79,71.99,78.47,78.76,,-999,78.88,78.88
medium_overlap_no_benzene,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",78.93,68.81,92.57,67.72,71.0,93.97,,-999,78.93,78.93
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",79.03,77.67,86.93,74.21,85.86,70.35,,-999,79.03,79.03
long_overlap_first_6,60,30,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",79.79,65.66,89.47,77.53,91.84,74.75,,-999,79.79,79.79
no_overlap_short_first_6,20,20,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],81.79,72.73,88.31,75.5,93.75,78.47,,-999,81.79,81.79
no_overlap_short_no_benzene,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",83.97,90.97,85.33,83.66,95.86,63.89,,-999,83.97,83.97
medium_overlap_no_benzene,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],87.5,87.32,88.44,90.53,97.99,73.37,,-999,87.5,87.5
medium_overlap_first_4,30,15,"[0, 1, 2, 3]",None,87.99,83.41,88.38,98.51,77.0,93.53,,-999,87.99,87.99
no_overlap_long_no_benzene_no_alcohol,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['standard_scaler'],88.28,79.31,89.29,85.19,90.91,100.0,,-999,88.28,88.28
long_overlap_no_benzene_no_alcohol,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",None,89.79,79.79,88.66,100.0,81.0,100.0,,-999,89.79,89.79
no_overlap_long_first_6,100,100,"[0, 1, 2, 3, 4, 5]",['standard_scaler'],89.84,96.15,100.0,80.77,75.0,96.15,,-999,89.84,89.84
short_overlap_first_4,10,5,"[0, 1, 2, 3]",None,90.2,76.03,98.87,89.19,88.96,97.58,,-999,90.2,90.2
